City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Paciran,ID,79.74,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
201,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
203,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
205,Isabela,PH,75.25,moderate rain,6.7085,121.9711,Isawad Resort
213,Alto Araguaia,BR,75.07,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
214,La Suiza,CR,79.56,overcast clouds,9.8524,-83.6133,Nature Hideaway Bed & Breakfast
220,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
221,Amahai,ID,79.14,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
223,Bull Savanna,JM,81.9,clear sky,17.8868,-77.5902,Big Red's
230,Bosaso,SO,82.2,few clouds,11.2842,49.1816,Red Sea Hotel
232,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
233,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
239,Manokwari,ID,79.16,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
240,Chake Chake,TZ,77.04,moderate rain,-5.2459,39.7666,Hotel Archipelago
241,Manado,ID,75.97,light rain,1.4869999999999999,124.8455,Aryaduta Hotel
246,Shelton,US,74.95,few clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
250,San Pedro,PH,81.63,few clouds,14.35,121.0167,Esquivel's Garden And Resort
254,Tulsipur,NP,73.36,broken clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
256,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
258,Cairns,AU,73.35,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
263,Bethel,US,73.49,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
264,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
266,Salgueiro,BR,80.46,overcast clouds,-8.0742,-39.1192,Hotel Requinte
269,Saint Anthony,US,78.85,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
270,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
281,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
285,Bengkulu,ID,78.22,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
289,Manggar,ID,81.07,broken clouds,-2.8833,108.2667,Guest Hotel
294,Redlands,US,74.17,few clouds,34.0556,-117.1825,Dynasty Suites Redlands
296,Jangaon,IN,85.44,overcast clouds,17.7167,79.1833,Gabbeta real estate
303,Vanimo,PG,78.39,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
305,Altagracia De Orituco,VE,89.51,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
307,Kavieng,PG,83.16,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
310,Takoradi,GH,81.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
313,Tema,GH,84.61,clear sky,5.667000000000001,-0.0166,Beulah Royale Hotel Tema
315,Hamilton,US,86.25,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
316,Itarema,BR,76.57,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
317,Elizabethtown,US,83.01,scattered clouds,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
324,Boca Do Acre,BR,80.01,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
328,Noumea,NC,75.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
329,Vaitape,PF,81.32,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
331,Aksu,CN,76.06,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
334,Dakar,SN,73.53,few clouds,14.6937,-17.4441,Novotel Dakar
335,Matara,LK,79.99,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
338,Kalianget,ID,81.39,broken clouds,-7.05,113.9333,Pesanggrahan Garam
346,Loa Janan,ID,74.57,overcast clouds,-0.583,117.095,Ss
347,Boquete,PA,73.0,overcast clouds,8.7833,-82.4333,Valle Escondido Resort Golf & Spa
351,Oriximina,BR,78.22,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
354,Corozal,CO,84.22,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
357,Kopargaon,IN,82.33,overcast clouds,19.8833,74.4833,Chanakya Mandal
362,Zabid,YE,86.43,few clouds,14.1951,43.3152,مغرب التريبه
363,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
364,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
366,Abu Dhabi,AE,80.62,clear sky,24.4667,54.3667,Beach Rotana
368,Poso,ID,77.74,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
369,Banda Aceh,ID,81.41,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
370,Pakxan,LA,76.19,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
372,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
373,Sao Filipe,CV,72.95,few clouds,14.8961,-24.4956,Hotel Xaguate
378,Kirakira,SB,83.14,overcast clouds,-10.4544,161.9205,SanBiz Lodge
383,Le Port,RE,73.4,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
387,Puerto Ayacucho,VE,80.74,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
389,Oranjestad,AW,80.53,overcast clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
392,Mulege,MX,85.71,few clouds,26.8833,-111.9833,Casa Granada
393,Vallenar,CL,79.9,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
396,Broome,US,75.36,clear sky,42.2506,-75.833,Chenango Valley State Park
397,Pouebo,NC,74.39,broken clouds,-20.4,164.5667,RIVÂT LODGE
399,Hobyo,SO,82.53,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
400,Tabuk,PH,73.76,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
402,Sur,OM,83.88,clear sky,22.5667,59.5289,Sur Plaza Hotel
403,Bemidji,US,71.91,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
404,Epe,NG,78.6,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
409,Puerto Carreno,CO,80.8,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
410,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
411,Tete,MZ,70.77,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
412,Kapit,MY,73.83,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
413,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
414,Mandera,KE,83.98,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
416,Kerema,PG,80.06,moderate rain,-7.9631,145.7785,Frena Lodge
417,Victoria,HK,77.95,moderate rain,22.2855,114.1577,Mini Central
418,Les Cayes,HT,82.89,few clouds,18.2,-73.75,Villa Orphee
421,Biak,ID,76.1,overcast clouds,-0.9131,122.8766,Penginapan Kim
422,Karratha,AU,71.2,broken clouds,-20.7377,116.8463,ibis Styles Karratha
423,San Policarpo,PH,80.42,broken clouds,12.1791,125.5072,Agapita M. Nicart
425,Honiara,SB,82.45,overcast clouds,-9.4333,159.95,Heritage Park Hotel
426,Lorengau,PG,82.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
427,Westport,US,74.75,few clouds,41.1415,-73.3579,The Westport Inn
428,Catuday,PH,80.65,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
432,Harper,LR,80.29,overcast clouds,4.375,-7.7169,Screensaver
441,Pedasi,PA,86.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
446,Chapais,CA,73.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
450,Balabac,PH,81.84,broken clouds,7.9868,117.0645,Batalla’s Lodging House
453,Indi,IN,88.56,overcast clouds,17.1667,75.9667,Shree Gurubhojanalaya
454,Sabang,ID,83.91,overcast clouds,5.8933,95.3214,Hotel Citra
455,Barra,BR,78.33,scattered clouds,-11.0894,-43.1417,Motel Albatroz
456,Eydhafushi,MV,84.06,light rain,5.1033,73.0708,Soneva Fushi
460,Shache,CN,71.71,clear sky,38.4167,77.2406,Delong Hotel
461,Bubaque,GW,78.22,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
464,Iguatemi,BR,71.15,overcast clouds,-23.6803,-54.5611,Hotel Seriema
466,Sardarshahr,IN,87.13,clear sky,28.4333,74.4833,Hotel Moti Mahal
467,Along,IN,70.34,overcast clouds,28.1667,94.7667,Hotel West
470,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
476,Namibe,AO,74.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
478,Johnstown,US,75.99,clear sky,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
479,Finschhafen,PG,80.46,overcast clouds,-6.6024,147.8681,Cossam Guest House
488,Beba,CU,80.87,broken clouds,22.4437,-79.7253,Hostal Cubaustria
490,Sao Joao Da Barra,BR,71.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
497,Jacareacanga,BR,82.62,broken clouds,-6.2222,-57.7528,Casa do Ian😎
498,Eldorado,BR,71.08,light rain,-23.7869,-54.2836,Villa Verde Hotel
499,Cacoal,BR,80.98,broken clouds,-11.4386,-61.4472,Hotel BR 364
500,Shenzhen,CN,77.85,light rain,22.5455,114.0683,Grand Skylight
506,Luganville,VU,79.93,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
516,San Felipe,VE,79.68,light rain,10.3399,-68.7425,Posada Llovizna Rodríguez
519,General Salgado,BR,76.69,few clouds,-20.6483,-50.3606,TUTU HOTEL
521,Berwick,US,77.41,clear sky,41.0545,-76.2333,The White Birch Inn B & B
522,Axim,GH,80.8,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
526,Asmar,AF,73.94,clear sky,35.0333,71.3581,COP Monti
532,Florida,US,89.01,clear sky,28.7505,-82.5001,Sportsmens Cove
536,Phan Thiet,VN,78.17,broken clouds,10.9333,108.1,Hotel Saigon-PT
537,Jasper,US,84.99,broken clouds,37.2001,-94.3502,Guest House Motel
540,Sakhipur,BD,75.69,broken clouds,24.3,90.1833,জুনিয়র এফ.সি-ক্লাব-২
