City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Neiafu,TO,-18.65,-173.9833,79.48,73,75,6.91,broken clouds
234,Sioux Lookout,CA,50.1001,-91.917,64.47,34,20,14.97,few clouds
235,Port Lincoln,AU,-34.7333,135.8667,57.56,67,0,6.06,clear sky
236,Hervey Bay,AU,-25.2986,152.8535,69.03,96,100,4.0,light rain
237,Tafresh,IR,34.692,50.013,55.63,41,37,6.76,scattered clouds
238,Necochea,AR,-38.5473,-58.7368,52.39,75,100,7.09,overcast clouds
239,Manokwari,ID,-0.8667,134.0833,79.16,68,64,4.43,broken clouds
240,Chake Chake,TZ,-5.2459,39.7666,77.04,90,4,11.36,moderate rain
241,Manado,ID,1.487,124.8455,75.97,100,40,1.14,light rain
242,Verkhnevilyuysk,RU,63.4453,120.3167,29.08,89,28,4.76,scattered clouds
243,Hermanus,ZA,-34.4187,19.2345,63.81,84,97,18.19,overcast clouds
244,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,82,75,13.02,light intensity shower rain
245,Pisco,PE,-13.7,-76.2167,65.01,88,100,6.91,mist
246,Shelton,US,41.3165,-73.0932,74.95,32,20,17.27,few clouds
247,Gisborne,NZ,-38.6533,178.0042,54.54,70,97,17.83,overcast clouds
248,Mnogovershinnyy,RU,53.9353,139.9242,40.68,88,98,5.1,overcast clouds
249,Uyuni,BO,-20.4597,-66.825,50.94,12,0,7.94,clear sky
250,San Pedro,PH,14.35,121.0167,81.63,75,20,4.61,few clouds
251,Iqaluit,CA,63.7506,-68.5145,33.53,86,100,17.27,overcast clouds
252,Isilkul,RU,54.9109,71.2728,58.86,30,100,16.06,overcast clouds
253,Dukat,RU,62.55,155.55,29.01,95,100,6.62,overcast clouds
254,Tulsipur,NP,28.131,82.2973,73.36,69,73,5.23,broken clouds
255,Brigantine,US,39.4101,-74.3646,61.03,47,100,16.11,overcast clouds
256,Grand Gaube,MU,-20.0064,57.6608,76.37,79,23,12.64,few clouds
257,Kedrovka,RU,55.5333,86.05,38.28,52,0,6.2,clear sky
258,Cairns,AU,-16.9167,145.7667,73.35,91,75,5.75,broken clouds
259,Klaksvik,FO,62.2266,-6.589,47.32,87,91,8.34,overcast clouds
